r_r,p_p,y_a,x_x,y_y,z_z
"-0.05567002668976784,","-0.0133668202906847,","0.01927325129508972,","-1.2603392601013184,","-0.6254609823226929,",34.6490097045898
"-0.0567006915807724,","-0.01422497071325779,","0.019766591489315033,","-1.3436588048934937,","-0.6499791741371155,",36.0049629211426
"-0.05776825174689293,","-0.014750621281564236,","0.020284036174416542,","-1.427160382270813,","-0.6741307973861694,",37.3301773071289
"-0.05868874117732048,","-0.015404986217617989,","0.02068978361785412,","-1.511441707611084,","-0.6978670358657837,",38.6426963806152
"-0.05976457521319389,","-0.015800651162862778,","0.02122380957007408,","-1.5954103469848633,","-0.7213393449783325,",39.9357223510742
"-0.061170775443315506,","-0.01574602723121643,","0.022242126986384392,","-1.6793972253799438,","-0.744549572467804,",41.2021942138672
"-0.06301449984312057,","-0.015321497805416584,","0.023614786565303802,","-1.7653526067733765,","-0.7675539255142212,",42.4554634094238
"-0.06484014540910721,","-0.015275458805263042,","0.02479199506342411,","-1.856389045715332,","-0.7910757660865784,",43.7436904907227
"-0.06657517701387405,","-0.015868358314037323,","0.025744006037712097,","-1.9514962434768677,","-0.81500244140625,",45.0517082214356
"-0.06840135157108307,","-0.016239089891314507,","0.027086757123470306,","-2.050205707550049,","-0.8395978808403015,",46.3825759887695
"-0.06992816179990768,","-0.0170646570622921,","0.028528328984975815,","-2.151329755783081,","-0.8642019033432007,",47.725399017334
"-0.07088936865329742,","-0.01796618290245533,","0.029653219506144524,","-2.250826597213745,","-0.8883505463600159,",49.0449562072754
"-0.0715668722987175,","-0.01887424662709236,","0.03085862658917904,","-2.351637601852417,","-0.9128667116165161,",50.3802947998047
"-0.07228787988424301,","-0.01948409155011177,","0.032224610447883606,","-2.4529709815979004,","-0.9373343586921692,",51.7137985229492
"-0.07314653694629669,","-0.019182149320840836,","0.03401560336351395,","-2.5555567741394043,","-0.9623754620552063,",53.0500297546387
"-0.07380957901477814,","-0.019290655851364136,","0.03565777465701103,","-2.6583127975463867,","-0.987362265586853,",54.380744934082
"-0.07445167005062103,","-0.01950829289853573,","0.03710068762302399,","-2.7610855102539062,","-1.011905550956726,",55.7009582519531
"-0.07487200945615768,","-0.01945076882839203,","0.03861158341169357,","-2.862338066101074,","-1.0360864400863647,",57.0012130737305
"-0.07515907287597656,","-0.018929975107312202,","0.04033221676945686,","-2.9637837409973145,","-1.0600172281265259,",58.3031578063965
"-0.07570011913776398,","-0.01794319786131382,","0.04246816784143448,","-3.066347360610962,","-1.0844528675079346,",59.614616394043
"-0.07638661563396454,","-0.017223864793777466,","0.044502273201942444,","-3.1704561710357666,","-1.1091203689575195,",60.9318580627441
"-0.0769219622015953,","-0.017185091972351074,","0.04617774859070778,","-3.2758212089538574,","-1.1335575580596924,",62.2566833496094
"-0.07701466232538223,","-0.01789087802171707,","0.04749060049653053,","-3.381730318069458,","-1.1578656435012817,",63.5890312194824
"-0.07718256860971451,","-0.018525321036577225,","0.04874933138489723,","-3.4869332313537598,","-1.1814981698989868,",64.9108200073242
"-0.0775001123547554,","-0.018866708502173424,","0.05001259967684746,","-3.5924477577209473,","-1.2051054239273071,",66.2194137573242
"-0.07764595746994019,","-0.018808117136359215,","0.0512688048183918,","-3.6972994804382324,","-1.228621006011963,",67.5143585205078
"-0.07762690633535385,","-0.018440227955579758,","0.05261578410863876,","-3.7995800971984863,","-1.2518246173858643,",68.7799530029297
"-0.0780356377363205,","-0.0179899912327528,","0.05416159704327583,","-3.9002952575683594,","-1.274655818939209,",70.0132293701172
"-0.0788109302520752,","-0.017450299113988876,","0.05566825345158577,","-4.002694129943848,","-1.2974541187286377,",71.2464599609375
"-0.07967783510684967,","-0.016532598063349724,","0.0575074665248394,","-4.106821060180664,","-1.3207069635391235,",72.4831466674805
"-0.0805850550532341,","-0.015051153488457203,","0.05959124490618706,","-4.211151599884033,","-1.3442460298538208,",73.7080612182617
"-0.08139381557703018,","-0.014358987100422382,","0.06145657226443291,","-4.319789409637451,","-1.3681429624557495,",74.9661407470703
"-0.08227705210447311,","-0.013913710601627827,","0.06319413334131241,","-4.430523872375488,","-1.392212986946106,",76.233024597168
"-0.08377322554588318,","-0.012800651602447033,","0.06539679318666458,","-4.542587757110596,","-1.415932297706604,",77.4844207763672
"-0.08517465740442276,","-0.011904379352927208,","0.06738986074924469,","-4.656980514526367,","-1.4396570920944214,",78.7430038452149
"-0.08677273988723755,","-0.011367838829755783,","0.06945400685071945,","-4.772841453552246,","-1.4632046222686768,",79.9943771362305
"-0.08846338093280792,","-0.010919809341430664,","0.07161355763673782,","-4.892396450042725,","-1.486885905265808,",81.2559585571289
"-0.0898534432053566,","-0.01026065368205309,","0.07391061633825302,","-5.013523101806641,","-1.5107651948928833,",82.5240478515625
"-0.09119880944490433,","-0.00910938624292612,","0.07635271549224854,","-5.138546466827393,","-1.5353776216506958,",83.8176040649414
"-0.09257196635007858,","-0.00752215925604105,","0.07880134880542755,","-5.265180587768555,","-1.5603193044662476,",85.1094741821289
"-0.094021737575531,","-0.006016627885401249,","0.0813567042350769,","-5.393460750579834,","-1.585269570350647,",86.3997116088867
"-0.09504581242799759,","-0.004713388159871101,","0.08345350623130798,","-5.523945331573486,","-1.610164761543274,",87.7038497924805
"-0.09601002186536789,","-0.0032934038899838924,","0.0857604369521141,","-5.6572065353393555,","-1.6354179382324219,",89.0281677246094
"-0.09728235751390457,","-0.0017023665132001042,","0.08808595687150955,","-5.79172945022583,","-1.6606346368789673,",90.3546676635742
"-0.09847375750541687,","-0.0008152124937623739,","0.08993783593177795,","-5.928160667419434,","-1.6857770681381226,",91.6874084472656
"-0.09907343238592148,","-0.0006068405928090215,","0.0913928896188736,","-6.06280517578125,","-1.7103147506713867,",93.0057830810547
"-0.09949544817209244,","-0.0007606176659464836,","0.0925544947385788,","-6.198489665985107,","-1.7347077131271362,",94.3293228149414
"-0.10037525743246078,","0.0009357681265100837,","0.0941639170050621,","-6.333297252655029,","-1.7594603300094604,",95.6421890258789
"-0.10193123668432236,","0.003944968804717064,","0.09590776264667511,","-6.468537330627441,","-1.7840783596038818,",96.9392929077148
"-0.10353647917509079,","0.0060822488740086555,","0.09750562906265259,","-6.60394287109375,","-1.808469295501709,",98.2163162231445
"-0.10490591078996658,","0.006519770249724388,","0.09870581328868866,","-6.744035243988037,","-1.832566261291504,",99.5161437988281
"-0.10584957152605057,","0.005852058995515108,","0.0998496487736702,","-6.887096405029297,","-1.85639488697052,",100.830184936523
"-0.10693065822124481,","0.005433476064354181,","0.10108770430088043,","-7.032124996185303,","-1.880204677581787,",102.145454406738
"-0.10860881209373474,","0.006428343243896961,","0.10282077640295029,","-7.177605628967285,","-1.9040366411209106,",103.43758392334
"-0.1101866215467453,","0.007742945570498705,","0.10483141243457794,","-7.324230194091797,","-1.9278947114944458,",104.717819213867
"-0.11130263656377792,","0.008792747743427753,","0.10661352425813675,","-7.473665714263916,","-1.9520183801651,",106.004470825195
"-0.11187983304262161,","0.00856886338442564,","0.10796472430229187,","-7.628972053527832,","-1.9766929149627686,",107.330703735352
"-0.11229245364665985,","0.00747227668762207,","0.10885965824127197,","-7.78798246383667,","-2.0013797283172607,",108.68253326416
"-0.11257744580507278,","0.006727009080350399,","0.10962806642055511,","-7.944325923919678,","-2.0255861282348633,",110.014961242676
"-0.11325021088123322,","0.006712864153087139,","0.1106044203042984,","-8.101210594177246,","-2.0498387813568115,",111.345642089844
"-0.11371246725320816,","0.007271223701536655,","0.11163050681352615,","-8.25826644897461,","-2.0743672847747803,",112.681579589844
"-0.11379119008779526,","0.008082019165158272,","0.11244428157806396,","-8.408979415893555,","-2.098271369934082,",113.97095489502
"-0.11389875411987305,","0.00876467302441597,","0.1130581796169281,","-8.560516357421875,","-2.122122049331665,",115.263259887695
"-0.11437974125146866,","0.00975924264639616,","0.11385154724121094,","-8.707291603088379,","-2.1448922157287598,",116.510536193848
"-0.11494458466768265,","0.010473120957612991,","0.11477931588888168,","-8.85398006439209,","-2.1671855449676514,",117.749664306641
"-0.11536955088376999,","0.010935144498944283,","0.11578072607517242,","-9.001372337341309,","-2.1892940998077393,",118.983062744141
"-0.11537633091211319,","0.010739614255726337,","0.11655956506729126,","-9.150935173034668,","-2.2115910053253174,",120.236122131348
"-0.11532334983348846,","0.010613173246383667,","0.11735555529594421,","-9.298630714416504,","-2.233529567718506,",121.471794128418
"-0.11497586965560913,","0.01081305555999279,","0.11823311448097229,","-9.444679260253906,","-2.2553699016571045,",122.702934265137
"-0.11489750444889069,","0.011277713812887669,","0.11945508420467377,","-9.592848777770996,","-2.277459144592285,",123.951614379883
"-0.11466245353221893,","0.011486737988889217,","0.12043987214565277,","-9.742390632629395,","-2.2994561195373535,",125.217163085938
"-0.1142275333404541,","0.011890574358403683,","0.12149932235479355,","-9.893449783325195,","-2.3221757411956787,",126.504829406738
"-0.11358319222927094,","0.012056577950716019,","0.12253542989492416,","-10.045662879943848,","-2.3456203937530518,",127.818733215332
"-0.11277000606060028,","0.011894541792571545,","0.12358234077692032,","-10.199023246765137,","-2.3689804077148438,",129.162353515625
"-0.11200778931379318,","0.012195345014333725,","0.12495794892311096,","-10.353104591369629,","-2.39290714263916,",130.525375366211
"-0.11168346554040909,","0.0128598278388381,","0.1264423131942749,","-10.508001327514648,","-2.416935682296753,",131.897979736328
"-0.11171384155750275,","0.014069451950490475,","0.12766049802303314,","-10.663861274719238,","-2.44092059135437,",133.272979736328
"-0.1120050847530365,","0.014861207455396652,","0.12881579995155334,","-10.821602821350098,","-2.4650118350982666,",134.65251159668
"-0.11304187029600143,","0.016865260899066925,","0.13050423562526703,","-10.981426239013672,","-2.489185094833374,",136.027420043945
"-0.11394084244966507,","0.01844852603971958,","0.13183659315109253,","-11.13978385925293,","-2.513099193572998,",137.379638671875
"-0.11507479846477509,","0.018890593200922012,","0.13306938111782074,","-11.299667358398438,","-2.536792278289795,",138.725708007813
"-0.11718549579381943,","0.019206391647458076,","0.13445903360843658,","-11.461597442626953,","-2.5600063800811768,",140.05339050293
"-0.11981189250946045,","0.021073631942272186,","0.13656385242938995,","-11.628798484802246,","-2.5839147567749023,",141.390960693359
"-0.12265230715274811,","0.02293023280799389,","0.13872338831424713,","-11.805158615112305,","-2.6084818840026855,",142.756774902344
"-0.12521493434906006,","0.02385972999036312,","0.14035674929618835,","-11.988346099853516,","-2.633490562438965,",144.142303466797
"-0.1271091103553772,","0.024338550865650177,","0.14185023307800293,","-12.173079490661621,","-2.658673048019409,",145.51904296875
"-0.12792015075683594,","0.02354242652654648,","0.1430487334728241,","-12.358882904052734,","-2.683506488800049,",146.901809692383
"-0.12883636355400085,","0.022679878398776054,","0.14406488835811615,","-12.5431547164917,","-2.7078709602355957,",148.268981933594
"-0.12993566691875458,","0.022286178544163704,","0.14524048566818237,","-12.7225980758667,","-2.731414318084717,",149.59211730957
"-0.13139377534389496,","0.022327406331896782,","0.14654380083084106,","-12.898603439331055,","-2.75408935546875,",150.871383666992
"-0.1322309672832489,","0.021663745865225792,","0.14734989404678345,","-13.073936462402344,","-2.7766027450561523,",152.142150878906
"-0.13304930925369263,","0.021062735468149185,","0.14811262488365173,","-13.252820014953613,","-2.799454927444458,",153.430023193359
"-0.1341729313135147,","0.021459924057126045,","0.14923954010009766,","-13.425561904907227,","-2.821854591369629,",154.663284301758
"-0.13522735238075256,","0.021521203219890594,","0.15023832023143768,","-13.603299140930176,","-2.8444664478302,",155.920257568359
"-0.13657698035240173,","0.021055545657873154,","0.15121375024318695,","-13.788444519042969,","-2.8678793907165527,",157.219100952148
"-0.1391199827194214,","0.021064860746264458,","0.1526397317647934,","-13.979140281677246,","-2.891929864883423,",158.529495239258
"-0.1423470377922058,","0.02266741916537285,","0.15489329397678375,","-14.174285888671875,","-2.916635751724243,",159.83447265625
"-0.14579758048057556,","0.024494968354701996,","0.1574200987815857,","-14.369588851928711,","-2.9414215087890625,",161.110687255859
"-0.14859887957572937,","0.025179686024785042,","0.1594579815864563,","-14.567954063415527,","-2.965799570083618,",162.384658813477
"-0.15004119277000427,","0.02478116750717163,","0.1608278453350067,","-14.767223358154297,","-2.989847183227539,",163.665542602539
"-0.15114670991897583,","0.024105437099933624,","0.16217243671417236,","-14.969827651977539,","-3.0138731002807617,",164.962326049805
"-0.1515962779521942,","0.02354452572762966,","0.16356387734413147,","-15.174333572387695,","-3.0379478931427,",166.273193359375
"-0.15201614797115326,","0.023652374744415283,","0.16540244221687317,","-15.381926536560059,","-3.0626070499420166,",167.602127075195
"-0.152415931224823,","0.024304641410708427,","0.1676444560289383,","-15.590042114257812,","-3.0876007080078125,",168.932601928711
"-0.1532464325428009,","0.025796964764595032,","0.17035165429115295,","-15.79746150970459,","-3.1128928661346436,",170.243728637695
"-0.1548592448234558,","0.028130080550909042,","0.17317278683185577,","-16.0056095123291,","-3.1381051540374756,",171.540237426758
"-0.15628886222839355,","0.028950344771146774,","0.1748839169740677,","-16.215198516845703,","-3.1625020503997803,",172.830627441406
"-0.1571485996246338,","0.028646549209952354,","0.17606566846370697,","-16.423254013061523,","-3.1860344409942627,",174.111801147461
"-0.15756310522556305,","0.02739260345697403,","0.1770584136247635,","-16.627578735351562,","-3.2087719440460205,",175.368621826172
"-0.1577819436788559,","0.026471024379134178,","0.1780918836593628,","-16.82741928100586,","-3.23081111907959,",176.596206665039
"-0.15788377821445465,","0.026128053665161133,","0.1794247031211853,","-17.024221420288086,","-3.252779722213745,",177.804138183594
"-0.15824991464614868,","0.026545625180006027,","0.18148326873779297,","-17.21947479248047,","-3.274998664855957,",179.000106811523
"-0.15820172429084778,","0.027166934683918953,","0.18392030894756317,","-17.413042068481445,","-3.2976744174957275,",180.188751220703
"-0.1582304686307907,","0.0280106570571661,","0.1863565891981125,","-17.604158401489258,","-3.3202085494995117,",181.363098144531
"-0.15811105072498322,","0.028396591544151306,","0.18837502598762512,","-17.79363250732422,","-3.342350959777832,",182.528106689453
"-0.15776939690113068,","0.02869246155023575,","0.19015231728553772,","-17.984121322631836,","-3.3646466732025146,",183.705017089844
"-0.15805678069591522,","0.02950453944504261,","0.19209544360637665,","-18.176748275756836,","-3.3872692584991455,",184.889526367187
"-0.15895012021064758,","0.03188612684607506,","0.19432128965854645,","-18.37484359741211,","-3.4107048511505127,",186.100021362305
"-0.16034333407878876,","0.03402172029018402,","0.19620072841644287,","-18.58053970336914,","-3.434352159500122,",187.338073730469
"-0.1611606925725937,","0.033992454409599304,","0.19715777039527893,","-18.791709899902344,","-3.457533359527588,",188.605377197266
"-0.16205258667469025,","0.03132207691669464,","0.19769783318042755,","-19.01238250732422,","-3.480437994003296,",189.91975402832
"-0.16274414956569672,","0.02911553531885147,","0.1983848214149475,","-19.23731231689453,","-3.503631114959717,",191.25927734375
"-0.16381517052650452,","0.028312714770436287,","0.19922178983688354,","-19.463531494140625,","-3.5272207260131836,",192.597366333008
"-0.16553720831871033,","0.028481030836701393,","0.20043697953224182,","-19.69352912902832,","-3.551570177078247,",193.943740844727
"-0.16770769655704498,","0.02919605001807213,","0.20206141471862793,","-19.925060272216797,","-3.5764360427856445,",195.278503417969
"-0.16958604753017426,","0.029638422653079033,","0.2034897357225418,","-20.158267974853516,","-3.6015429496765137,",196.606750488281
"-0.17172591388225555,","0.02967534400522709,","0.20466190576553345,","-20.39735221862793,","-3.6265869140625,",197.950759887695
"-0.1737518012523651,","0.029303573071956635,","0.20541946589946747,","-20.640121459960938,","-3.6512198448181152,",199.300338745117
"-0.17582912743091583,","0.02958393469452858,","0.20656146109104156,","-20.882152557373047,","-3.675569772720337,",200.632720947266
"-0.17811201512813568,","0.03020763024687767,","0.20802012085914612,","-21.125091552734375,","-3.7000386714935303,",201.952758789063
"-0.18005619943141937,","0.030741045251488686,","0.20975182950496674,","-21.36825942993164,","-3.72445011138916,",203.258728027344
"-0.18135781586170197,","0.03093698062002659,","0.21126370131969452,","-21.612430572509766,","-3.748835325241089,",204.563385009766
"-0.18230339884757996,","0.030900662764906883,","0.21274329721927643,","-21.856172561645508,","-3.7728590965270996,",205.861572265625
"-0.18326517939567566,","0.03099977970123291,","0.21434913575649261,","-22.099201202392578,","-3.7966854572296143,",207.149490356445
"-0.1843290627002716,","0.031124603003263474,","0.21586833894252777,","-22.344247817993164,","-3.820354700088501,",208.436538696289
"-0.18565909564495087,","0.031323421746492386,","0.21745045483112335,","-22.589216232299805,","-3.843968629837036,",209.713928222656
"-0.18704964220523834,","0.031243782490491867,","0.218876451253891,","-22.835834503173828,","-3.867417573928833,",210.988647460937
"-0.18825380504131317,","0.031266968697309494,","0.2204207330942154,","-23.079036712646484,","-3.8900835514068604,",212.23828125
"-0.18942506611347198,","0.03184302896261215,","0.2221827656030655,","-23.322391510009766,","-3.9128596782684326,",213.483123779297
"-0.1903439611196518,","0.03205743059515953,","0.2238827794790268,","-23.567089080810547,","-3.9357423782348633,",214.727066040039
"-0.19152259826660156,","0.03188226372003555,","0.22557790577411652,","-23.815048217773438,","-3.958763837814331,",215.97917175293
"-0.19231347739696503,","0.0313701294362545,","0.22709979116916656,","-24.06419563293457,","-3.981783866882324,",217.233779907227
"-0.19275948405265808,","0.030504195019602776,","0.22862596809864044,","-24.31414222717285,","-4.004772663116455,",218.491500854492
"-0.1931784301996231,","0.02938227914273739,","0.22993461787700653,","-24.569530487060547,","-4.028191566467285,",219.771820068359
"-0.1937929093837738,","0.027703195810317993,","0.23089466989040375,","-24.83474349975586,","-4.052182674407959,",221.096664428711
"-0.19405929744243622,","0.024954184889793396,","0.2314467579126358,","-25.101818084716797,","-4.07562255859375,",222.437698364258
"-0.19416402280330658,","0.023266399279236794,","0.2321569323539734,","-25.366994857788086,","-4.099270820617676,",223.772537231445
"-0.1946599781513214,","0.02333018369972706,","0.23338906466960907,","-25.631582260131836,","-4.123734951019287,",225.099227905273
"-0.1957717388868332,","0.02393849566578865,","0.23486697673797607,","-25.896223068237305,","-4.148638725280762,",226.415512084961
"-0.19687780737876892,","0.02382110059261322,","0.23594976961612701,","-26.163711547851562,","-4.173770427703857,",227.735916137695
"-0.19813111424446106,","0.02349809743463993,","0.23682154715061188,","-26.43156623840332,","-4.19849967956543,",229.046401977539
"-0.19944515824317932,","0.023734312504529953,","0.23762954771518707,","-26.69968032836914,","-4.222786903381348,",230.349060058594
"-0.20107796788215637,","0.02451212890446186,","0.23834824562072754,","-26.969356536865234,","-4.2469024658203125,",231.646697998047
"-0.2020365297794342,","0.025212163105607033,","0.2389758974313736,","-27.237762451171875,","-4.27089262008667,",232.940246582031
"-0.20277613401412964,","0.02587375044822693,","0.2400410771369934,","-27.504920959472656,","-4.29487419128418,",234.223876953125
"-0.20382896065711975,","0.02652047760784626,","0.24172696471214294,","-27.773000717163086,","-4.318728923797607,",235.508743286133
"-0.20511215925216675,","0.026470016688108444,","0.24338459968566895,","-28.042701721191406,","-4.342070579528809,",236.788803100586
"-0.20627863705158234,","0.02560478448867798,","0.24496859312057495,","-28.312849044799805,","-4.36475944519043,",238.059921264648
"-0.20799192786216736,","0.024348609149456024,","0.24658730626106262,","-28.58509063720703,","-4.3872833251953125,",239.327102661133
"-0.20981661975383759,","0.023671099916100502,","0.24850697815418243,","-28.850543975830078,","-4.409291744232178,",240.552444458008
"-0.21182848513126373,","0.02360427938401699,","0.2506437301635742,","-29.11624526977539,","-4.431018352508545,",241.766174316406
"-0.2129354178905487,","0.022508570924401283,","0.2521263062953949,","-29.383955001831055,","-4.452422618865967,",242.984893798828
"-0.21375301480293274,","0.0207894966006279,","0.25336018204689026,","-29.654577255249023,","-4.473885536193848,",244.212982177734
"-0.21507106721401215,","0.019806526601314545,","0.2547595500946045,","-29.935449600219727,","-4.496547698974609,",245.476821899414
"-0.2167469710111618,","0.019838394597172737,","0.2562360167503357,","-30.215980529785156,","-4.519537925720215,",246.729339599609
"-0.21831870079040527,","0.019477134570479393,","0.257413774728775,","-30.503326416015625,","-4.542891979217529,",248.001754760742
"-0.2193852961063385,","0.018735984340310097,","0.2583053410053253,","-30.7900390625,","-4.565922737121582,",249.268127441406
"-0.22036027908325195,","0.018234023824334145,","0.2593388259410858,","-31.0725040435791,","-4.5885725021362305,",250.514068603516
"-0.22210055589675903,","0.017311014235019684,","0.26049041748046875,","-31.367774963378906,","-4.611580848693848,",251.799835205078
"-0.2242661565542221,","0.0161975659430027,","0.2614274322986603,","-31.671537399291992,","-4.634913921356201,",253.099395751953
"-0.2267211228609085,","0.015372145920991898,","0.2625754475593567,","-31.968175888061523,","-4.657395839691162,",254.347152709961
"-0.228928804397583,","0.015034688636660576,","0.26371443271636963,","-32.24162292480469,","-4.677859783172607,",255.485321044922
"-0.23062065243721008,","0.014456701464951038,","0.2646746039390564,","-32.51648712158203,","-4.697854042053223,",256.623321533203
"-0.23180873692035675,","0.013367226347327232,","0.2657097280025482,","-32.779258728027344,","-4.716883182525635,",257.711975097656
"-0.23254674673080444,","0.012528282590210438,","0.2670574188232422,","-33.028076171875,","-4.7351603507995605,",258.746704101562
"-0.2335849553346634,","0.012847883626818657,","0.2691583037376404,","-33.273319244384766,","-4.753878593444824,",259.759674072266
"-0.23490339517593384,","0.013640769757330418,","0.27163317799568176,","-33.5330924987793,","-4.773926258087158,",260.826110839844
"-0.2361687868833542,","0.013539144769310951,","0.27385255694389343,","-33.80366897583008,","-4.794559955596924,",261.930541992187
"-0.23730413615703583,","0.013251381926238537,","0.2759929895401001,","-34.07550048828125,","-4.81517219543457,",263.034820556641
"-0.2385718822479248,","0.013485699892044067,","0.2783631980419159,","-34.345703125,","-4.83545446395874,",264.129547119141
"-0.23911873996257782,","0.013292588293552399,","0.28054672479629517,","-34.62358474731445,","-4.855835914611816,",265.260620117188
"-0.2393888682126999,","0.012954496778547764,","0.2826506197452545,","-34.896881103515625,","-4.876445770263672,",266.374664306641
"-0.24038280546665192,","0.012838160619139671,","0.2844364047050476,","-35.16927719116211,","-4.896652698516846,",267.473846435547
"-0.2413884401321411,","0.012538866139948368,","0.2858273386955261,","-35.43157958984375,","-4.915785312652588,",268.523529052734
"-0.24221067130565643,","0.011947582475841045,","0.2867564260959625,","-35.686363220214844,","-4.93420934677124,",269.54052734375
"-0.24275095760822296,","0.01163497194647789,","0.2876139283180237,","-35.93688201904297,","-4.952386379241943,",270.54052734375
"-0.24303829669952393,","0.011352605186402798,","0.2883642911911011,","-36.20353317260742,","-4.971757411956787,",271.602447509766
"-0.24276228249073029,","0.011459514498710632,","0.28903108835220337,","-36.48486328125,","-4.992873191833496,",272.72900390625
"-0.24281087517738342,","0.012601089663803577,","0.29039236903190613,","-36.783477783203125,","-5.016195774078369,",273.924499511719
"-0.24277494847774506,","0.013524137437343597,","0.29223713278770447,","-37.09954833984375,","-5.040890693664551,",275.189178466797
"-0.24252769351005554,","0.013751864433288574,","0.2937197685241699,","-37.42818069458008,","-5.066747188568115,",276.504699707031
"-0.24290397763252258,","0.013667434453964233,","0.2946609556674957,","-37.764442443847656,","-5.092716217041016,",277.843872070313
"-0.2435254603624344,","0.013069558888673782,","0.2948535978794098,","-38.10202407836914,","-5.117716312408447,",279.181762695312
"-0.2442467361688614,","0.011741415597498417,","0.29451873898506165,","-38.43596267700195,","-5.141345024108887,",280.499237060547
"-0.2453225553035736,","0.010479825548827648,","0.29430198669433594,","-38.778255462646484,","-5.165259838104248,",281.839080810547
"-0.2466573268175125,","0.00980442389845848,","0.29438722133636475,","-39.127872467041016,","-5.189509391784668,",283.19775390625
"-0.24778056144714355,","0.009516512043774128,","0.29481905698776245,","-39.482574462890625,","-5.214283466339111,",284.570739746094
"-0.24882426857948303,","0.008991497568786144,","0.29549047350883484,","-39.847381591796875,","-5.239738941192627,",285.9765625
"-0.2499982863664627,","0.008142641745507717,","0.2962771952152252,","-40.219058990478516,","-5.265824317932129,",287.40087890625
"-0.25119325518608093,","0.007291880901902914,","0.29708462953567505,","-40.59389114379883,","-5.292072772979736,",288.829559326172
"-0.2530508041381836,","0.007205273024737835,","0.29827284812927246,","-40.974143981933594,","-5.318889617919922,",290.265838623047
"-0.2549603283405304,","0.007251936476677656,","0.2995232343673706,","-41.360816955566406,","-5.346174240112305,",291.713165283203
"-0.25669780373573303,","0.006750334985554218,","0.3005661368370056,","-41.74266052246094,","-5.372550010681152,",293.134826660156
"-0.2590635120868683,","0.006379522383213043,","0.30175715684890747,","-42.122657775878906,","-5.398750305175781,",294.53515625
