u,pp,nnmn,g_x,b,m,n,g_y,p,q,r,s
0.9999966,-0.001050891,0.002369238,-0.005061181,0.00103793,0.9999845,0.00546529,-0.3871399,-0.002374945,-0.005462811,0.9999823,26.8203
0.9999839,-0.005339007,0.001951315,0.001962273,0.005331392,0.9999782,0.003887907,-0.4099385,-0.00197203,-0.003877439,0.9999905,28.19472
0.9999804,-0.005933229,0.001984892,0.005281593,0.005930623,0.9999815,0.001317193,-0.4328977,-0.001992671,-0.001305395,0.9999972,29.57012
0.9999781,-0.006177289,0.002396696,0.007939024,0.006179643,0.9999804,-0.0009754601,-0.4591179,-0.002390623,0.0009902499,0.9999967,30.94984
0.9999909,-0.002864263,0.003173275,0.006827076,0.002868672,0.9999949,-0.001385713,-0.4850133,-0.00316929,0.001394804,0.999994,32.33531
0.9999918,-0.001916604,0.003569832,0.008305167,0.001929098,0.999992,-0.003499497,-0.5122367,-0.003563096,0.003506355,0.9999875,33.7178
0.9999934,-0.001021449,0.003498427,0.0101734,0.001035312,0.9999916,-0.003963092,-0.543116,-0.00349435,0.003966688,0.999986,35.11083
0.9999937,-0.0009562966,0.003408962,0.0121194,0.0009619574,0.9999981,-0.001659242,-0.5746233,-0.003407369,0.001662511,0.9999928,36.50789
0.9999955,-0.0001889567,0.002986144,0.01511478,0.0001891381,1,-6.045352E-05,-0.5999006,-0.002986132,6.101873E-05,0.9999955,37.90589
0.9999925,0.002514536,0.002962671,0.01696851,-0.002513425,0.9999967,-0.0003789502,-0.6238526,-0.002963614,0.0003715016,0.9999955,39.30156
0.9999824,0.005051551,0.00310141,0.01942949,-0.005049835,0.9999871,-0.0005613031,-0.643712,-0.003104205,0.0005456323,0.999995,40.70437
0.9999692,0.007203652,0.003111047,0.01916344,-0.007203531,0.999974,-5.033623E-05,-0.6707246,-0.003111328,2.792485E-05,0.9999952,42.111
0.9999615,0.008308311,0.002843621,0.02134431,-0.008308996,0.9999654,0.0002285387,-0.694132,-0.002841624,-0.0002521567,0.9999959,43.51858
0.9999707,0.007259716,0.002412259,0.02622364,-0.007259297,0.9999736,-0.0001830541,-0.7178581,-0.002413524,0.0001655381,0.9999971,44.92821
0.9999779,0.006426238,0.001720933,0.03086036,-0.006424858,0.999979,-0.000807473,-0.739025,-0.001726085,0.0007963989,0.9999982,46.34127
0.9999829,0.005800169,0.0007616191,0.03408031,-0.005800122,0.9999832,-6.598169E-05,-0.7610315,-0.0007619887,6.156377E-05,0.9999997,47.75704
0.9999819,0.006010565,-0.0002411952,0.03359221,-0.006010374,0.9999816,0.0007926521,-0.7839856,0.0002459554,-0.0007911873,0.9999997,49.17963
0.9999771,0.00664891,-0.001303817,0.03175532,-0.00664754,0.9999773,0.0010528,-0.805635,0.001310788,-0.001044108,0.9999986,50.60218
0.9999749,0.006638251,-0.00247948,0.02895795,-0.006636601,0.9999777,0.0006739965,-0.8265408,0.0024839,-0.0006575234,0.9999967,52.02831
0.9999699,0.006882776,-0.003588301,0.02536977,-0.006875797,0.9999744,0.001954123,-0.8453836,0.003601659,-0.001929391,0.9999917,53.45716
0.9999753,0.005497092,-0.004387406,0.02082938,-0.005484306,0.9999807,0.002921095,-0.8668316,0.004403379,-0.00289696,0.9999861,54.88464
0.9999794,0.004003115,-0.005028578,0.0168087,-0.003988904,0.999988,0.002833038,-0.88688,0.005039859,-0.00281292,0.9999834,56.3166
0.9999825,0.001719377,-0.005654443,0.0132291,-0.001705846,0.9999956,0.002396848,-0.9072442,0.00565854,-0.00238716,0.9999812,57.7455
0.9999835,0.0003749396,-0.005730769,0.01007535,-0.0003587007,0.9999959,0.002834406,-0.9249469,0.005731809,-0.002832302,0.9999796,59.17365
0.9999856,-0.0008364906,-0.005300789,0.006524255,0.0008549023,0.9999936,0.003472042,-0.9446035,0.005297852,-0.003476522,0.9999799,60.60318
0.9999862,-0.001858791,-0.004917931,0.00276421,0.001878972,0.9999898,0.004102186,-0.9647484,0.004910257,-0.004111369,0.9999795,62.02795
0.9999827,-0.003792549,-0.00448879,-0.001308243,0.003809033,0.999986,0.003669129,-0.98781,0.004474812,-0.003686163,0.9999832,63.45198
0.999978,-0.005296196,-0.004008198,-0.002873604,0.005307526,0.9999819,0.002820928,-1.008175,0.003993186,-0.002842138,0.999988,64.87187
0.9999807,-0.005220464,-0.003359595,-0.005953934,0.005228046,0.9999838,0.002251723,-1.0297,0.003347786,-0.002269242,0.9999918,66.2894
0.9999907,-0.003482462,-0.002553135,-0.01002031,0.003488378,0.9999912,0.002316104,-1.050203,0.002545047,-0.002324987,0.9999941,67.70311
0.9999977,-0.0006481361,-0.002068772,-0.0193644,0.0006556852,0.9999931,0.003650429,-1.076075,0.002066392,-0.003651776,0.9999912,69.11593
0.9999946,0.003012865,-0.001287971,-0.02702275,-0.003006442,0.9999832,0.004960905,-1.097831,0.001302897,-0.004957004,0.9999869,70.53
0.9999777,0.006659933,-0.0005287413,-0.03513442,-0.00665692,0.9999626,0.005510824,-1.118231,0.0005654236,-0.00550718,0.9999847,71.93978
0.9999378,0.01115147,0.0001358833,-0.0421465,-0.01115202,0.9999247,0.005112813,-1.135987,-7.885743E-05,-0.005114008,0.9999869,73.33986
0.9998986,0.01421691,0.000850324,-0.04677589,-0.0142207,0.9998882,0.004621051,-1.153311,-0.0007845315,-0.004632673,0.999989,74.74245
0.9998649,0.01636598,0.001544958,-0.05327678,-0.01637256,0.9998565,0.004344501,-1.177226,-0.001473634,-0.004369207,0.9999894,76.1445
0.9998598,0.01663766,0.001883621,-0.05458511,-0.01664595,0.9998514,0.004472345,-1.197942,-0.001808931,-0.004503071,0.9999882,77.54079
0.9998793,0.01540192,0.00204051,-0.05287325,-0.01541125,0.9998705,0.004635585,-1.218035,-0.001968848,-0.00466647,0.9999872,78.93496
0.9998967,0.0142363,0.001959369,-0.0495425,-0.01424345,0.9998917,0.003684603,-1.236655,-0.001906701,-0.003712129,0.9999913,80.32545
0.9999076,0.01348987,0.001677215,-0.04883212,-0.01349578,0.9999026,0.003560725,-1.258287,-0.001629018,-0.00358303,0.9999923,81.71095
0.9999074,0.01353416,0.001448463,-0.04838807,-0.01353963,0.999901,0.003833191,-1.278676,-0.00139644,-0.003852447,0.9999916,83.09721
0.999914,0.0130801,0.0009085344,-0.05269073,-0.01308305,0.9999089,0.003317811,-1.300031,-0.000865054,-0.003329411,0.9999941,84.48367
0.9999097,0.01343478,0.0001870473,-0.06072004,-0.01343539,0.9999029,0.003681202,-1.320245,-0.0001375727,-0.003683382,0.9999932,85.86562
0.9999145,0.01305409,-0.0007454492,-0.07518042,-0.01305069,0.9999051,0.004397269,-1.343695,0.0008027813,-0.004387163,0.9999901,87.25015
0.9999385,0.01093064,-0.001877975,-0.0843762,-0.01092024,0.9999254,0.00545859,-1.362982,0.001937501,-0.005437745,0.9999833,88.62909
0.9999566,0.008790731,-0.003086647,-0.09813229,-0.008771544,0.9999424,0.006176185,-1.38264,0.003140763,-0.00614884,0.9999762,90.00634
0.99997,0.00680326,-0.003711637,-0.1110475,-0.006779632,0.9999569,0.006342125,-1.399781,0.003754624,-0.006316769,0.999973,91.37524
0.9999761,0.005509752,-0.00418878,-0.1283351,-0.005485989,0.9999689,0.005663659,-1.418059,0.004219856,-0.005640542,0.9999752,92.74128
0.9999809,0.004282217,-0.004468492,-0.1454603,-0.004259218,0.9999777,0.00514399,-1.435964,0.004490421,-0.005124857,0.9999768,94.10339
0.9999772,0.004941455,-0.004604768,-0.1697048,-0.004919521,0.9999765,0.004762664,-1.45619,0.004628195,-0.004739901,0.9999781,95.46076
0.9999787,0.004738575,-0.00448741,-0.1913409,-0.004720319,0.9999805,0.004070437,-1.476213,0.004506611,-0.004049167,0.9999817,96.81382
0.9999761,0.005462031,-0.00424626,-0.2120314,-0.005447632,0.9999794,0.003395396,-1.496478,0.004264719,-0.003372181,0.9999852,98.16545
0.9999676,0.00706084,-0.003876949,-0.2344056,-0.007047185,0.9999689,0.003524911,-1.517683,0.003901718,-0.003497473,0.9999863,99.51513
0.9999651,0.00752926,-0.003627207,-0.2485715,-0.007511447,0.9999598,0.004900143,-1.534999,0.003663956,-0.004872725,0.9999814,100.8603
0.999955,0.008833811,-0.003458298,-0.2694021,-0.008811343,0.9999403,0.006459623,-1.556018,0.003515155,-0.006428858,0.9999732,102.2054
0.9999597,0.008302254,-0.003413289,-0.2867601,-0.008284616,0.9999524,0.005149958,-1.575247,0.003455884,-0.005121471,0.9999809,103.5459
0.999961,0.008173871,-0.003338205,-0.3053256,-0.008165524,0.9999635,0.002507096,-1.596046,0.003358576,-0.002479739,0.9999913,104.8845
0.9999651,0.007633274,-0.003387356,-0.3153955,-0.007628806,0.99997,0.001330447,-1.613299,0.003397411,-0.001304558,0.9999934,106.2208
0.9999796,0.005504928,-0.003239048,-0.3343086,-0.005496405,0.9999814,0.002634819,-1.638432,0.003253493,-0.002616961,0.9999913,107.5653
0.9999916,0.003142105,-0.002625883,-0.3508131,-0.003129622,0.9999838,0.004744784,-1.661275,0.002640749,-0.004736525,0.9999853,108.9064
0.9999973,0.001561465,-0.001709519,-0.3737761,-0.001552202,0.9999842,0.005406523,-1.686739,0.001717934,-0.005403854,0.9999839,110.2446
0.9999993,0.0006761649,-0.001000188,-0.3943149,-0.0006721988,0.9999919,0.003960469,-1.710102,0.001002858,-0.003959792,0.9999917,111.5766
0.9999966,0.0025812,-0.0003337541,-0.4137129,-0.002580678,0.9999954,0.001556832,-1.733997,0.0003377714,-0.001555964,0.9999987,112.905
0.9999895,0.00453267,0.0007482827,-0.4219683,-0.004532188,0.9999895,-0.0006455749,-1.753986,-0.0007512008,0.0006421774,0.9999995,114.2286
0.999969,0.007570197,0.002161282,-0.4295899,-0.007568322,0.999971,-0.0008754176,-1.775004,-0.002167846,0.0008590337,0.9999973,115.5601
0.9999531,0.008996724,0.003596945,-0.4334779,-0.009001425,0.9999586,0.001292099,-1.79423,-0.003585171,-0.001324415,0.9999927,116.893
0.9999479,0.009079888,0.004667313,-0.4334151,-0.009097321,0.9999516,0.003727156,-1.811794,-0.004633246,-0.00376942,0.9999822,118.2274
0.9999525,0.008077879,0.00544954,-0.4306137,-0.008102033,0.9999574,0.004424713,-1.825847,-0.005413565,-0.004468654,0.9999754,119.5613
0.9999422,0.008587162,0.006468939,-0.4334146,-0.00861102,0.9999562,0.003668979,-1.846322,-0.006437149,-0.003724469,0.9999724,120.9045
0.9999167,0.01035031,0.007709247,-0.4472932,-0.01037511,0.9999411,0.003183679,-1.880929,-0.007675841,-0.003263396,0.9999652,122.2684
0.9998842,0.01238024,0.00884972,-0.4560744,-0.01240543,0.9999191,0.002797299,-1.91003,-0.008814373,-0.002906759,0.9999569,123.6242
0.9998641,0.01313728,0.009963119,-0.4622549,-0.01315502,0.999912,0.001716443,-1.940325,-0.009939693,-0.001847274,0.9999489,124.9835
0.9998377,0.01423201,0.01105094,-0.4641329,-0.01424547,0.9998979,0.001139845,-1.966295,-0.01103359,-0.001297085,0.9999383,126.3371
0.9998388,0.01339481,0.01195754,-0.4708495,-0.01340614,0.9999097,0.0008676732,-2.006026,-0.01194484,-0.001027837,0.9999281,127.6925
0.9998362,0.01286455,0.01272995,-0.4718094,-0.01288658,0.9999156,0.001649653,-2.038343,-0.01270765,-0.001813427,0.9999176,129.0496
0.9998371,0.01188958,0.0135774,-0.47428,-0.01193361,0.9999238,0.003166744,-2.073189,-0.01353872,-0.003328255,0.9999028,130.407
0.9998441,0.0108917,0.01389623,-0.4701254,-0.01093766,0.9999349,0.003235384,-2.099489,-0.01386008,-0.00338687,0.9998982,131.7557
0.9998649,0.008812545,0.01387257,-0.4656937,-0.008863631,0.9999541,0.003625222,-2.127702,-0.01383999,-0.003747692,0.9998972,133.1097
0.9998827,0.007142773,0.01354834,-0.4651028,-0.007199653,0.9999654,0.004154062,-2.162932,-0.0135182,-0.004251117,0.9998996,134.4614
0.9998996,0.005636614,0.01300499,-0.4661197,-0.00568639,0.9999766,0.003793553,-2.198388,-0.0129833,-0.003867122,0.9999082,135.8146
0.9999228,0.004048643,0.01174935,-0.4644953,-0.004092637,0.9999847,0.003722651,-2.226309,-0.0117341,-0.003770448,0.9999241,137.1606
0.9999391,0.002791727,0.01067837,-0.4645723,-0.002842435,0.9999847,0.004736388,-2.254854,-0.01066498,-0.004766451,0.9999318,138.5124
0.9999526,0.001228059,0.009656581,-0.4641807,-0.001276893,0.9999864,0.005052512,-2.281749,-0.009650245,-0.005064602,0.9999406,139.8626
0.999965,0.0004853852,0.008355191,-0.4674418,-0.0005268857,0.9999875,0.004965534,-2.314866,-0.008352676,-0.00496976,0.9999528,141.2129
0.9999748,0.0002292746,0.007102144,-0.4704574,-0.0002612741,0.9999898,0.004505001,-2.341886,-0.007101039,-0.004506741,0.9999646,142.5622
0.9999816,-0.0001461826,0.006061113,-0.474702,0.0001219015,0.9999919,0.004006239,-2.367455,-0.00606165,-0.004005425,0.9999736,143.9099
0.9999856,-0.001774247,0.005074856,-0.4789013,0.001762936,0.9999959,0.002232536,-2.395024,-0.005078797,-0.002223556,0.9999846,145.2578
0.9999656,-0.007298614,0.003947404,-0.4813925,0.007295542,0.999973,0.0007925721,-2.426593,-0.003953082,-0.0007637455,0.9999919,146.6011
0.9998967,-0.01409568,0.002802842,-0.484415,0.01408553,0.9998943,0.003608253,-2.462969,-0.002853406,-0.0035684,0.9999896,147.9538
0.999763,-0.0217308,0.001320181,-0.4832843,0.0217246,0.9997536,0.004543876,-2.489366,-0.001418598,-0.004514118,0.9999888,149.303
0.9996862,-0.02504947,0.0001332437,-0.4887986,0.02504914,0.999684,0.002113372,-2.518617,-0.0001861401,-0.00210937,0.9999978,150.6481
0.9996841,-0.02513252,0.0003807422,-0.4979854,0.0251332,0.9996823,-0.001884703,-2.545628,-0.0003332535,0.001893677,0.9999982,151.9917
0.9997662,-0.02158749,0.001248822,-0.5139897,0.02159192,0.9997602,-0.003645129,-2.581792,-0.001169833,0.003671241,0.9999926,153.3373
0.9997705,-0.02133187,0.002001939,-0.5203405,0.02133904,0.9997657,-0.003630061,-2.611885,-0.001924034,0.003671947,0.9999914,154.6843
0.9997071,-0.02405938,0.002609289,-0.5188374,0.02406072,0.9997104,-0.0004795238,-2.641449,-0.002596996,0.0005421654,0.9999965,156.0329
0.9995597,-0.02951217,0.003081805,-0.510487,0.02950365,0.9995608,0.002776577,-2.666163,-0.003162394,-0.002684429,0.9999914,157.3829
0.9994284,-0.03366699,0.003070718,-0.4996047,0.03365623,0.9994273,0.003494311,-2.68915,-0.003186602,-0.003388964,0.9999892,158.7319
0.9993665,-0.03546242,0.003006804,-0.4908894,0.03545071,0.9993639,0.003864764,-2.711383,-0.003141945,-0.003755721,0.999988,160.0786
0.9994176,-0.03391111,0.003821913,-0.4848759,0.03389483,0.9994163,0.004248695,-2.73678,-0.00396376,-0.004116675,0.9999837,161.429
0.9995379,-0.02997704,0.005043696,-0.4836516,0.02995749,0.9995435,0.003909706,-2.760604,-0.005158595,-0.003756801,0.9999796,162.7788
0.9996297,-0.02654347,0.005992326,-0.4767803,0.02653482,0.9996467,0.001518786,-2.787254,-0.006030523,-0.001359217,0.9999809,164.1295
0.9996963,-0.02370307,0.006750227,-0.468784,0.02369904,0.9997189,0.0006776078,-2.810667,-0.006764391,-0.0005174273,0.999977,165.4807
0.999739,-0.02170098,0.007145421,-0.4599264,0.02168704,0.9997627,0.002022974,-2.835558,-0.007187626,-0.001867482,0.9999724,166.839
0.9997748,-0.02006189,0.006919389,-0.449484,0.02004972,0.9997973,0.001825343,-2.861986,-0.006954607,-0.001686199,0.9999744,168.2
0.9998149,-0.01813299,0.006434412,-0.4424438,0.01813719,0.9998353,-0.000594343,-2.88656,-0.006422575,0.0007109357,0.9999791,169.5602
0.9998753,-0.01463466,0.005933089,-0.4389717,0.01465566,0.9998864,-0.00351045,-2.91424,-0.005881041,0.003596966,0.9999762,170.9198
0.9999362,-0.009733294,0.005740251,-0.4111543,0.009761015,0.9999407,-0.004820709,-2.932731,-0.005692989,0.004876432,0.9999719,172.2841
0.9999686,-0.005143146,0.006037007,-0.388112,0.005167231,0.9999787,-0.003980535,-2.960771,-0.006016406,0.004011605,0.9999739,173.6528
0.9999768,-0.001828108,0.006567234,-0.3779301,0.001838035,0.9999972,-0.001505773,-2.986448,-0.006564463,0.00151781,0.9999773,175.0291
0.9999765,-0.00147761,0.006696021,-0.3588782,0.001474495,0.9999988,0.0004701385,-3.008539,-0.006696708,-0.0004602534,0.9999775,176.4086
0.9999731,-0.004339593,0.00590949,-0.3405308,0.004328926,0.999989,0.001816912,-3.013913,-0.005917309,-0.00179128,0.9999809,177.7852
0.9999673,-0.006892799,0.004231974,-0.3214042,0.006885778,0.9999749,0.001671888,-3.022953,-0.004243392,-0.001642692,0.9999897,179.1607
0.9999709,-0.007309297,0.002170147,-0.3136545,0.007314585,0.9999703,-0.00243795,-3.041123,-0.002152263,0.002453753,0.9999947,180.542
0.9999803,-0.006249158,0.0006762724,-0.3089995,0.006253708,0.9999563,-0.006947885,-3.0621,-0.0006328241,0.006951976,0.9999756,181.9214
0.9999989,-0.00147201,7.625144E-05,-0.3140564,0.001472565,0.9999679,-0.007868715,-3.088158,-6.466581E-05,0.007868819,0.999969,183.3098
0.9999966,0.002593231,-4.985571E-05,-0.3186558,-0.0025935,0.9999756,-0.006476319,-3.114466,3.306026E-05,0.006476426,0.999979,184.7039
0.9999907,0.004303533,0.000233426,-0.3141305,-0.004302714,0.9999849,-0.003405586,-3.137555,-0.0002480782,0.00340455,0.9999942,186.0994
0.9999868,0.005091028,0.0006512883,-0.3087277,-0.005090224,0.9999863,-0.001231497,-3.164478,-0.0006575487,0.001228166,0.999999,187.4988
0.9999898,0.004448722,0.0007330863,-0.3089327,-0.004448418,0.99999,-0.0004171905,-3.193945,-0.0007349346,0.0004139258,0.9999997,188.9003
0.9999954,0.00295401,0.0006755492,-0.3070211,-0.002954257,0.9999955,0.0003634327,-3.221858,-0.0006744723,-0.000365426,0.9999997,190.3048
0.9999997,0.0003667254,0.000663303,-0.3030042,-0.0003672563,0.9999996,0.0008003941,-3.25053,-0.0006630089,-0.0008006366,0.9999995,191.7128
0.9999968,-0.002296786,0.00103953,-0.3007558,0.002295944,0.999997,0.0008102725,-3.281162,-0.001041387,-0.0008078824,0.9999991,193.1213
0.9999851,-0.005294323,0.001369557,-0.2979338,0.005291893,0.9999844,0.001772738,-3.314135,-0.00137892,-0.001765463,0.9999975,194.5397
0.9999546,-0.009368607,0.001771587,-0.2945301,0.009362221,0.9999497,0.003580279,-3.344375,-0.00180504,-0.003563529,0.999992,195.9592
0.999916,-0.01280487,0.001997357,-0.2955048,0.01279759,0.9999115,0.003617325,-3.384557,-0.0020435,-0.003591458,0.9999915,197.3809
0.9999376,-0.01094347,0.002233356,-0.2998637,0.01094485,0.9999399,-0.0006040287,-3.419365,-0.002226612,0.0006284354,0.9999973,198.8011
0.9999866,-0.00440476,0.002705777,-0.3150034,0.004421524,0.9999709,-0.006220738,-3.471363,-0.002678297,0.006232618,0.999977,200.2242
0.9999803,0.004937679,0.003867005,-0.3321987,-0.004911558,0.9999652,-0.006735801,-3.515079,-0.003900129,0.006716675,0.9999698,201.6573
0.9998989,0.01319129,0.005303121,-0.3485808,-0.01317803,0.9999099,-0.002527297,-3.555576,-0.005335981,0.002457157,0.9999828,203.0948
0.999874,0.01466149,0.006089232,-0.3518432,-0.01466092,0.9998925,-0.000138689,-3.580327,-0.006090611,4.939844E-05,0.9999815,204.5325
0.9999049,0.01262628,0.005556508,-0.3481359,-0.01262551,0.9999203,-0.0001752367,-3.604083,-0.005558278,0.0001050669,0.9999846,205.9704
0.9999449,0.009535333,0.004390272,-0.3438313,-0.009534934,0.9999545,-0.0001122394,-3.628674,-0.004391142,7.037296E-05,0.9999904,207.4183
0.9999698,0.007056709,0.003265357,-0.342198,-0.007056163,0.9999751,-0.000179166,-3.650886,-0.00326654,0.0001561204,0.9999947,208.8679
0.9999687,0.007421207,0.002746368,-0.3429638,-0.007418335,0.9999719,-0.001054972,-3.67436,-0.00275412,0.001034566,0.9999957,210.3232
0.9999572,0.008865968,0.002639868,-0.347951,-0.008863573,0.9999603,-0.0009180181,-3.708945,-0.002647902,0.0008945807,0.9999961,211.7849
0.9999457,0.01011607,0.002524498,-0.3533161,-0.01011626,0.9999488,6.078905E-05,-3.741769,-0.002523753,-8.632351E-05,0.9999968,213.2453
0.999952,0.009528196,0.002287637,-0.3575809,-0.009528055,0.9999546,-7.338614E-05,-3.778065,-0.002288232,5.158657E-05,0.9999974,214.7142
0.9999567,0.009109499,0.001882098,-0.3574839,-0.009106736,0.9999574,-0.001472665,-3.809987,-0.001895433,0.001455462,0.9999972,216.1864
0.9999636,0.008359215,0.001687676,-0.3559812,-0.008356573,0.9999638,-0.001567357,-3.837087,-0.001700717,0.001553197,0.9999974,217.6615
0.9999613,0.008710909,0.001240726,-0.3604882,-0.008709396,0.9999613,-0.001221145,-3.867619,-0.001251315,0.001210292,0.9999985,219.1419
0.9999614,0.008743635,0.0008939218,-0.3669047,-0.008742048,0.9999602,-0.001766652,-3.899694,-0.0009093329,0.001758769,0.999998,220.6192
0.9999611,0.008794205,0.0006937191,-0.3711882,-0.008792778,0.9999592,-0.002036552,-3.93317,-0.0007116004,0.002030374,0.9999977,222.1053
0.999951,0.009892701,0.0003480351,-0.3755068,-0.009891997,0.9999491,-0.001976626,-3.961696,-0.0003675712,0.001973087,0.999998,223.5894
0.9999545,0.009535271,3.060761E-06,-0.3771503,-0.009535239,0.9999517,-0.002380069,-3.990503,-2.575488E-05,0.002379932,0.9999972,225.0789
0.9999496,0.01003812,-0.0002604534,-0.3787707,-0.01003868,0.999947,-0.002264917,-4.017067,0.0002377044,0.002267418,0.9999974,226.5691
0.9999586,0.009094606,-0.0003650914,-0.3785266,-0.009095365,0.9999563,-0.002127619,-4.048136,0.000345726,0.002130852,0.9999977,228.0602
0.9999692,0.007840322,-0.0002576861,-0.3786614,-0.007841006,0.9999654,-0.002764804,-4.075078,0.0002360006,0.00276674,0.9999962,229.5511
0.9999775,0.006708944,-8.900665E-05,-0.3766086,-0.006709141,0.9999746,-0.002414917,-4.099044,7.280319E-05,0.00241546,0.9999971,231.0454
0.9999869,0.005120322,0.0001128453,-0.3745701,-0.005120128,0.9999855,-0.001666319,-4.124994,-0.0001213754,0.001665719,0.9999986,232.5421
0.9999877,0.004961834,0.0001048822,-0.3739626,-0.004961702,0.9999869,-0.001231555,-4.153624,-0.0001109912,0.00123102,0.9999992,234.0378
0.9999858,0.005337975,2.022159E-05,-0.3764692,-0.005337943,0.9999848,-0.001389784,-4.186333,-2.763958E-05,0.001389656,0.999999,235.539
0.9999818,0.006028187,0.0002363445,-0.3784077,-0.006027547,0.9999784,-0.002625311,-4.220226,-0.0002521649,0.002623838,0.9999965,237.0446
0.9999731,0.007300761,0.0007680277,-0.3814943,-0.007299344,0.9999717,-0.001833168,-4.253315,-0.0007813891,0.001827513,0.999998,238.5499
0.99997,0.007615056,0.001421637,-0.3829065,-0.007615902,0.9999708,0.0005892762,-4.285388,-0.001417108,-0.0006000848,0.9999988,240.0603
0.9999712,0.007345183,0.001934962,-0.3820924,-0.007347076,0.9999725,0.0009725281,-4.315103,-0.001927765,-0.0009867155,0.9999977,241.5712
0.9999683,0.007596371,0.002404236,-0.3818797,-0.007594896,0.9999709,-0.0006227482,-4.347138,-0.002408896,0.0006044691,0.9999969,243.0873
0.999967,0.007564991,0.002950398,-0.3796393,-0.007559141,0.9999694,-0.001989576,-4.377646,-0.002965359,0.001967208,0.9999937,244.602
0.9999578,0.008594224,0.003260437,-0.377078,-0.00858925,0.9999619,-0.001537157,-4.404696,-0.003273523,0.001509088,0.9999935,246.1231
0.9999617,0.008101687,0.00332684,-0.3721572,-0.008099747,0.999967,-0.0005968841,-4.432022,-0.003331566,0.0005699152,0.9999943,247.6477
0.999962,0.008179632,0.003022564,-0.3683885,-0.008180107,0.9999665,0.0001440039,-4.458219,-0.003021285,-0.0001687226,0.9999954,249.1682
0.9999599,0.008505824,0.002798118,-0.3658944,-0.008507187,0.9999637,0.0004745749,-4.487063,-0.002793979,-0.0004983592,0.999996,250.6964
0.9999463,0.009971468,0.002839532,-0.3629857,-0.009973122,0.9999501,0.0005680798,-4.511301,-0.002833726,-0.0005963674,0.9999958,252.2241
0.9999354,0.01095121,0.003044268,-0.3598899,-0.01095307,0.9999398,0.000596336,-4.535745,-0.003037554,-0.0006296408,0.9999952,253.757
0.999929,0.01155157,0.002931934,-0.3565283,-0.01155344,0.999933,0.0006206596,-4.558441,-0.002924568,-0.0006544886,0.9999955,255.2885
