a,b,g_x,c,g_y,d,e,f,g,h,I,j
-0.2760849,-0.02011543,0.9609227,29.43803,0.003834841,0.9997499,0.02203001,1.152695,-0.9611256,0.009767135,-0.2759387,6.997717
-0.3015542,-0.004619937,0.9534378,30.23007,0.008514457,0.9999353,0.007538199,1.146023,-0.9534111,0.01039118,-0.3014953,6.731675
-0.3263613,0.01306862,0.9451547,31.01165,0.009918866,0.9998967,-0.01040056,1.131823,-0.9451931,0.005980519,-0.3264572,6.452447
-0.35147,0.02863449,0.9357611,31.78304,0.009904458,0.9995899,-0.02686759,1.108614,-0.9361468,-0.0001749435,-0.3516094,6.157692
-0.3762472,0.03929353,0.9256857,32.55086,0.01331029,0.9992264,-0.0370052,1.070947,-0.9264237,-0.001601956,-0.3764792,5.836955
-0.3998266,0.04341498,0.915562,33.31009,0.01623309,0.9990563,-0.0402852,1.026378,-0.9164471,-0.001244695,-0.4001541,5.495463
-0.4223468,0.04311262,0.9054085,34.06148,0.01953336,0.9990692,-0.03846071,0.9790894,-0.9062239,0.001441909,-0.4227958,5.135804
-0.4426797,0.03912393,0.8958259,34.8041,0.02306832,0.9992139,-0.03223987,0.9319901,-0.8963831,0.006393259,-0.4432343,4.758144
-0.4606858,0.03664421,0.8868065,35.5321,0.02965531,0.999225,-0.02588393,0.8869767,-0.8870678,0.01437416,-0.4614155,4.363872
-0.4745911,0.03835757,0.8793702,36.24909,0.03368186,0.9991097,-0.02540263,0.8426907,-0.8795617,0.01756296,-0.4754606,3.963231
-0.4858028,0.04150123,0.8730826,36.95412,0.03666324,0.9989606,-0.02708449,0.80255,-0.8732992,0.01885231,-0.4868194,3.562206
-0.4957198,0.04472549,0.8673301,37.64822,0.03863947,0.99882,-0.02942176,0.7630243,-0.8676226,0.01892822,-0.496863,3.157985
-0.5063042,0.04474437,0.8611933,38.33941,0.03299499,0.9989269,-0.03250242,0.7189929,-0.8617235,0.01195895,-0.5072372,2.756405
-0.5178818,0.04212198,0.8544145,39.02884,0.03066636,0.9990591,-0.03066523,0.6757535,-0.8549024,0.01032081,-0.5186863,2.346023
-0.5266306,0.04415413,0.8489468,39.70737,0.0333146,0.998955,-0.03128996,0.634835,-0.8494412,0.01180406,-0.5275513,1.915654
-0.5337535,0.04751282,0.8443043,40.387,0.03698339,0.9987766,-0.03282548,0.5915961,-0.844831,0.01370451,-0.5348577,1.476584
-0.5377401,0.05089544,0.8415731,41.07846,0.03782421,0.9986276,-0.03622503,0.5487043,-0.8422618,0.01235218,-0.5389272,1.032647
-0.5375855,0.05280509,0.8415542,41.78415,0.03775591,0.9985436,-0.03853724,0.5077496,-0.8423635,0.01105657,-0.5387963,0.5810905
-0.5344232,0.05341072,0.8435278,42.50745,0.03972003,0.9984858,-0.0380575,0.4621972,-0.8442832,0.01316614,-0.5357355,0.1215434
-0.5288197,0.05163411,0.8471621,43.25224,0.03804206,0.9985866,-0.03711657,0.4157685,-0.8478812,0.01259982,-0.5300365,-0.3378365
-0.5220723,0.05058524,0.8513998,44.01652,0.03598416,0.9986571,-0.0372692,0.3696084,-0.8521418,0.01117969,-0.5231915,-0.7952287
-0.5150921,0.05001533,0.8556743,44.79847,0.03429061,0.9986993,-0.03773337,0.3229204,-0.8564487,0.009905426,-0.5161372,-1.255569
-0.5088807,0.04844952,0.8594725,45.59797,0.03153601,0.9987939,-0.03763126,0.2752422,-0.8602592,0.007954512,-0.5097949,-1.718077
-0.5044189,0.04647981,0.8622072,46.41671,0.02735822,0.9989091,-0.03784371,0.2251199,-0.8630256,0.004499376,-0.5051402,-2.182613
-0.5029009,0.04338914,0.8632543,47.25344,0.02275913,0.9990577,-0.03695629,0.1721279,-0.8640444,0.001061566,-0.5034145,-2.652713
-0.5033481,0.04071247,0.8631241,48.10244,0.01953136,0.9991702,-0.0357395,0.1191937,-0.863863,-0.001131428,-0.5037257,-3.13258
-0.5044132,0.03921978,0.8625712,48.96156,0.01799253,0.9992284,-0.03491174,0.06614438,-0.863275,-0.002090104,-0.5047297,-3.62261
-0.5048517,0.0386067,0.8623423,49.82913,0.01791862,0.9992528,-0.03424582,0.01543395,-0.8630201,-0.001837075,-0.5051663,-4.119797
-0.5050504,0.03780329,0.8622616,50.70986,0.01785762,0.9992841,-0.03335095,-0.03397462,-0.8629051,-0.001445966,-0.5053639,-4.626524
-0.5050733,0.03726614,0.8622715,51.60092,0.01804432,0.9993049,-0.03261913,-0.08461152,-0.8628878,-0.0009159473,-0.5053947,-5.138527
-0.5051532,0.0367508,0.8622469,52.4966,0.01772603,0.9993239,-0.03220842,-0.1359794,-0.8628477,-0.0009859714,-0.5054631,-5.654198
-0.5053926,0.0352101,0.8621708,53.39938,0.01608035,0.9993779,-0.03138742,-0.1889423,-0.8627397,-0.001998966,-0.5056444,-6.17036
-0.5053618,0.03420743,0.8622293,54.29898,0.01557393,0.9994127,-0.0305219,-0.2428121,-0.862767,-0.001996305,-0.5055978,-6.686856
-0.5048319,0.0335789,0.8625643,55.1975,0.0143819,0.9994316,-0.03048977,-0.2987033,-0.8630979,-0.002986898,-0.5050279,-7.201418
-0.5036775,0.03212028,0.8632944,56.09471,0.01388352,0.9994804,-0.02908717,-0.3531245,-0.8637802,-0.002664987,-0.5038618,-7.714224
-0.501636,0.02992057,0.8645612,56.99227,0.0143107,0.9995519,-0.02628895,-0.4067709,-0.8649605,-0.0008150146,-0.5018394,-8.225644
-0.4992242,0.02838957,0.8660076,57.88905,0.01463781,0.9995968,-0.02433071,-0.4587551,-0.8663492,0.0005299693,-0.4994385,-8.733355
-0.4969069,0.02798481,0.8673525,58.78294,0.01489235,0.9996077,-0.02372015,-0.5090484,-0.8676761,0.001130207,-0.4971287,-9.236703
-0.4947333,0.02852664,0.8685765,59.67603,0.01553885,0.9995917,-0.02397879,-0.5592501,-0.8689059,0.001633571,-0.4949746,-9.738335
-0.4938511,0.02886037,0.8690674,60.5683,0.01538354,0.9995826,-0.02445283,-0.6093983,-0.8694104,0.001293278,-0.4940889,-10.23718
-0.4943765,0.03022571,0.8687222,61.45389,0.01478575,0.9995431,-0.02636307,-0.6617839,-0.8691222,-0.0001885739,-0.4945975,-10.73111
-0.497217,0.03192219,0.8670388,62.33532,0.01346887,0.9994865,-0.02907467,-0.7144474,-0.8675217,-0.002778388,-0.4973916,-11.22461
-0.5016094,0.03254093,0.864482,63.20903,0.01236763,0.9994599,-0.03044557,-0.7673912,-0.8650059,-0.00458019,-0.5017409,-11.72056
-0.5070402,0.0313565,0.8613519,64.07973,0.01295155,0.9995024,-0.0287617,-0.8195839,-0.8618252,-0.003427495,-0.507194,-12.22485
-0.5125311,0.02874164,0.8581875,64.94007,0.01437747,0.9995868,-0.02489068,-0.8749911,-0.8585483,-0.0004186835,-0.5127325,-12.73747
-0.5177335,0.02656506,0.8551294,65.79473,0.01185191,0.9996446,-0.02387884,-0.9282033,-0.8554599,-0.002227959,-0.5178643,-13.24559
-0.5226363,0.02941155,0.8520482,66.6375,0.01399654,0.999566,-0.02591837,-0.9805354,-0.8524408,-0.001620158,-0.5228212,-13.75919
-0.5274222,0.03189323,0.8490045,67.47269,0.01432573,0.9994869,-0.0286467,-1.033058,-0.8494826,-0.002946299,-0.5276085,-14.27378
-0.5323119,0.03183277,0.8459496,68.30616,0.0126751,0.9994804,-0.02963431,-1.087156,-0.8464535,-0.005052202,-0.5324388,-14.78945
-0.5360908,0.03225966,0.8435437,69.13168,0.01171101,0.9994576,-0.03077968,-1.141061,-0.8440791,-0.006621957,-0.5361778,-15.30806
-0.5393463,0.03139766,0.8414985,69.95241,0.01242015,0.9994925,-0.02933216,-1.192211,-0.8419925,-0.00536865,-0.5394625,-15.83039
-0.5418385,0.02556549,0.8400937,70.77487,0.01359325,0.9996731,-0.02165448,-1.238526,-0.8403727,-0.0003136271,-0.5420089,-16.35928
-0.5439621,0.01656099,0.8389463,71.59496,0.01328968,0.9998498,-0.01112041,-1.282215,-0.8390046,0.005100239,-0.5441005,-16.88675
-0.5457263,0.01194765,0.8378783,72.40886,0.0126624,0.9999017,-0.00601075,-1.318045,-0.8378678,0.007329323,-0.545824,-17.41131
-0.5467919,0.01945582,0.8370425,73.20718,0.01388613,0.9998032,-0.01416795,-1.35273,-0.8371534,0.003876361,-0.5469545,-17.93042
-0.5478065,0.02543605,0.8362183,73.99928,0.01563674,0.9996744,-0.02016444,-1.391231,-0.8364589,0.002029515,-0.5480259,-18.45101
-0.5482496,0.03003017,0.8357754,74.79183,0.02118694,0.9995331,-0.02201599,-1.430026,-0.8360464,0.005637266,-0.5486298,-18.97578
-0.5479916,0.03041695,0.8359306,75.58518,0.02480583,0.99949,-0.02010701,-1.475622,-0.836116,0.009717477,-0.5484666,-19.50011
-0.5474528,0.02758302,0.8363819,76.3816,0.02401024,0.9995629,-0.0172487,-1.517748,-0.8364921,0.01063888,-0.5478757,-20.01769
-0.5467379,0.02340864,0.8369765,77.17766,0.0230623,0.9996509,-0.01289336,-1.553839,-0.8369861,0.01225331,-0.5470869,-20.53358
-0.5459641,0.01677805,0.8376405,77.9762,0.02007551,0.9997744,-0.006940643,-1.590768,-0.837568,0.01302671,-0.5461778,-21.04565
-0.5455092,0.01006165,0.8380444,78.77335,0.0116155,0.9999226,-0.004444298,-1.622926,-0.8380244,0.007309898,-0.5455839,-21.54511
-0.5440667,0.005812895,0.8390218,79.57091,0.004337534,0.9999821,-0.004115375,-1.647452,-0.8390308,0.001400245,-0.5440822,-22.04329
-0.542074,0.005488407,0.8403128,80.35975,0.006576327,0.9999757,-0.002288938,-1.672576,-0.8403051,0.004285396,-0.5420969,-22.55003
-0.5389628,0.00798906,0.8422917,81.14486,0.01078112,0.9999385,-0.002585744,-1.699977,-0.8422606,0.007687229,-0.5390158,-23.05551
-0.5339357,0.01250467,0.8454326,81.93166,0.01321294,0.9998919,-0.006444587,-1.723704,-0.8454219,0.007729654,-0.5340432,-23.55204
-0.5262425,0.01515726,0.8501994,82.7216,0.01899031,0.9998012,-0.006070036,-1.744715,-0.8501225,0.01295124,-0.5264258,-24.04556
-0.5181164,0.0168656,0.8551438,83.51715,0.02586392,0.9996573,-0.004045287,-1.770218,-0.854919,0.02002144,-0.5183751,-24.53507
-0.5083152,0.0172389,0.8609985,84.31881,0.02451954,0.999684,-0.005539851,-1.788533,-0.860822,0.01829529,-0.5085773,-25.0028
-0.4974733,0.0151648,0.8673467,85.13089,0.02234398,0.9997394,-0.004664016,-1.805753,-0.8671915,0.01705975,-0.4976825,-25.45724
-0.4858919,0.01153787,0.8739427,85.94484,0.02212486,0.9997548,-0.0008979555,-1.822552,-0.8737389,0.01889955,-0.486028,-25.90591
-0.474708,0.01005332,0.8800859,86.75945,0.02184015,0.9997614,0.0003599212,-1.839846,-0.8798723,0.01939206,-0.4748143,-26.33928
-0.462842,0.009424718,0.8863907,87.58352,0.02261341,0.9997436,0.001177951,-1.85177,-0.8861524,0.02058951,-0.4629364,-26.76347
-0.4508179,0.01059844,0.892553,88.40537,0.02496485,0.999688,0.0007388452,-1.869075,-0.8922668,0.02261553,-0.4509418,-27.17759
-0.4386412,0.01304329,0.8985676,89.23085,0.02421538,0.9997031,-0.002690457,-1.893883,-0.898336,0.02057901,-0.4388269,-27.57508
-0.4268339,0.0238663,0.904015,90.05203,0.02785083,0.9995244,-0.01323792,-1.91775,-0.9039011,0.01952717,-0.4272957,-27.96252
-0.4141655,0.02921613,0.9097326,90.88071,0.02820888,0.9994166,-0.01925396,-1.943851,-0.9097644,0.01768821,-0.414748,-28.33927
-0.4025051,0.0251772,0.9150714,91.72222,0.02639237,0.9995253,-0.01589187,-1.977509,-0.9150372,0.01775434,-0.4029785,-28.70201
-0.3905536,0.02123822,0.9203352,92.56728,0.02516643,0.9996065,-0.01238791,-2.01159,-0.9202362,0.01832341,-0.3909344,-29.05556
-0.3805729,0.02196923,0.9244899,93.40903,0.02221502,0.9996464,-0.01461026,-2.04625,-0.9244841,0.01497729,-0.3809264,-29.39508
-0.3733046,0.02566433,0.9273538,94.24877,0.01804085,0.999629,-0.02040224,-2.082058,-0.9275334,0.009113996,-0.3736291,-29.72193
-0.3683183,0.03118118,0.9291767,95.09156,0.01232014,0.9995133,-0.02865793,-2.119871,-0.9296181,0.0008923471,-0.3685233,-30.04218
-0.3647887,0.03303496,0.9305041,95.93682,0.009476799,0.9994503,-0.0317675,-2.16316,-0.9310421,-0.002770224,-0.3649012,-30.36357
-0.3610781,0.0326668,0.9319632,96.78367,0.007428916,0.9994553,-0.03215427,-2.209948,-0.932506,-0.004686727,-0.3611241,-30.6831
-0.3562009,0.03299304,0.9338267,97.62797,0.007842455,0.9994468,-0.03232003,-2.254489,-0.9343765,-0.004188933,-0.3562626,-30.99995
-0.3505397,0.02979465,0.9360738,98.47826,0.005777884,0.9995436,-0.02965117,-2.300639,-0.9365301,-0.004985387,-0.3505519,-31.31096
-0.3452582,0.02514112,0.9381709,99.33337,0.004706859,0.9996749,-0.02505714,-2.34789,-0.938496,-0.004235346,-0.3452643,-31.61656
-0.3394918,0.02250644,0.9403397,100.1848,0.003820552,0.9997384,-0.02254878,-2.394151,-0.9406013,-0.004062511,-0.339489,-31.91408
-0.3337775,0.02063786,0.9424259,101.0383,-0.003821443,0.9997224,-0.02324602,-2.436801,-0.9426442,-0.01136043,-0.333606,-32.19559
-0.3277148,0.02098731,0.9445436,101.8913,-0.01177247,0.9995849,-0.02629484,-2.479664,-0.9447034,-0.01973682,-0.3273317,-32.46899
-0.3209593,0.02394099,0.9467903,102.7387,-0.01075982,0.9995237,-0.02892199,-2.524306,-0.9470319,-0.01947007,-0.3205488,-32.74622
-0.3137758,0.0279427,0.9490858,103.5885,-0.007876338,0.9994559,-0.03202967,-2.567807,-0.9494645,-0.01752545,-0.313385,-33.02355
-0.3071515,0.02636724,0.9512953,104.4455,-0.008735291,0.9994958,-0.03052366,-2.610933,-0.9516206,-0.01768523,-0.3067663,-33.28918
-0.3003027,0.02118723,0.9536086,105.3065,-0.009618011,0.9996352,-0.02523868,-2.657199,-0.9537955,-0.01675106,-0.2999894,-33.55357
-0.2932163,0.01801806,0.9558763,106.1709,-0.01095002,0.9996935,-0.02220294,-2.704158,-0.9559835,-0.01697713,-0.2929291,-33.80988
-0.2867608,0.02111858,0.9577694,107.0286,-0.01249763,0.9995894,-0.02578256,-2.745462,-0.9579207,-0.01936328,-0.2863791,-34.05765
-0.2804609,0.02379786,0.9595704,107.8896,-0.01253753,0.9995165,-0.028453,-2.790316,-0.9597836,-0.02001059,-0.2800269,-34.29846
-0.273732,0.0254735,0.9614686,108.7523,-0.01377364,0.9994429,-0.03040099,-2.835895,-0.9617074,-0.02156465,-0.2732286,-34.53399
-0.2668961,0.0240113,0.9634261,109.6205,-0.01457336,0.9994747,-0.02894697,-2.88283,-0.9636151,-0.02176619,-0.266406,-34.76364
-0.2589284,0.02418283,0.9655937,110.487,-0.01125545,0.9995431,-0.02805129,-2.928512,-0.965831,-0.01813147,-0.2585379,-34.99323
-0.2511015,0.02499321,0.967638,111.3535,-0.007608843,0.9995847,-0.02779286,-2.97359,-0.9679309,-0.01434143,-0.2508071,-35.21847
-0.2444176,0.0253949,0.9693375,112.2223,-0.005921582,0.9995992,-0.02768083,-3.017837,-0.969652,-0.01250569,-0.2441693,-35.43239
-0.2378125,0.02455726,0.9710006,113.0945,-0.01164016,0.9995365,-0.02812981,-3.06272,-0.9712414,-0.01799222,-0.2374164,-35.63108
-0.2319982,0.02287074,0.9724473,113.9689,-0.01557129,0.9995081,-0.02722205,-3.10652,-0.9725916,-0.02145772,-0.2315279,-35.82432
-0.2272133,0.02240141,0.9735873,114.8418,-0.01347358,0.9995674,-0.02614362,-3.150123,-0.9737518,-0.01905788,-0.2268132,-36.02323
-0.2224437,0.02249694,0.9746859,115.7147,-0.01189422,0.9995967,-0.02578643,-3.193868,-0.974873,-0.01732916,-0.2220865,-36.21819
-0.2178083,0.02499013,0.9756716,116.5857,-0.01117689,0.9995427,-0.02809667,-3.239438,-0.9759276,-0.01702466,-0.2174294,-36.40785
-0.211926,0.02342173,0.977005,117.4624,-0.005456451,0.9996688,-0.02514864,-3.279199,-0.9772705,-0.01066063,-0.211728,-36.60169
-0.2065606,0.02222651,0.9781813,118.3368,0.001707797,0.9997486,-0.02235594,-3.318375,-0.9784323,-0.002947323,-0.2065467,-36.7945
-0.2015798,0.02103207,0.9792463,119.2101,0.004223693,0.9997788,-0.02060362,-3.361858,-0.979463,-1.723813E-05,-0.201624,-36.97484
-0.1973516,0.02314005,0.9800596,120.085,0.002787658,0.9997306,-0.02304316,-3.401094,-0.9803288,-0.001815536,-0.1973629,-37.14466
-0.1937151,0.02500661,0.9807391,120.9561,0.00145314,0.9996813,-0.02520258,-3.438516,-0.9810568,-0.003456971,-0.1936897,-37.31126
-0.1918428,0.02395892,0.9811332,121.8304,-0.001259154,0.9996951,-0.02465841,-3.481415,-0.9814249,-0.005965936,-0.1917541,-37.4746
-0.1909599,0.02259668,0.9813377,122.7039,-0.001834021,0.999725,-0.02337697,-3.521474,-0.9815962,-0.006263858,-0.1908659,-37.63878
-0.1897881,0.01940018,0.9816334,123.5754,0.0001819514,0.9998054,-0.01972415,-3.558368,-0.9818251,-0.003564802,-0.1897548,-37.80867
-0.1886932,0.01352981,0.9819429,124.4524,-0.0007890136,0.9999027,-0.0139289,-3.5961,-0.9820358,-0.003403055,-0.1886641,-37.97627
-0.1878979,0.01059726,0.9821314,125.3205,-0.00124133,0.9999384,-0.0110269,-3.63106,-0.9821878,-0.003291082,-0.1878732,-38.14146
-0.1864555,0.01582892,0.9823359,126.1781,-0.000743319,0.9998676,-0.01625252,-3.664261,-0.9824632,-0.003760562,-0.1864191,-38.30594
-0.1863838,0.02013241,0.9822707,127.0337,-0.0005057937,0.9997879,-0.02058742,-3.697685,-0.9824769,-0.004333989,-0.1863341,-38.46973
-0.1865559,0.0190435,0.9822597,127.8916,-0.003457152,0.9997932,-0.02004004,-3.731608,-0.9824383,-0.00713441,-0.1864515,-38.62938
-0.1859169,0.01858096,0.9823898,128.749,-0.005010791,0.9997902,-0.01985837,-3.773125,-0.9825527,-0.008614557,-0.1857848,-38.78916
-0.1854941,0.01781189,0.9824839,129.6019,-0.002315256,0.999825,-0.0185634,-3.812511,-0.9826427,-0.005718104,-0.1854204,-38.95463
-0.1844108,0.0210088,0.9826247,130.4485,-0.002083493,0.9997609,-0.02176619,-3.847217,-0.9828471,-0.006061214,-0.184323,-39.11538
-0.184721,0.02266165,0.9825297,131.2944,-0.01027674,0.9996349,-0.02498827,-3.890191,-0.9827373,-0.01471305,-0.1844207,-39.25481
-0.1845558,0.02340401,0.9825433,132.1343,-0.01690605,0.9994929,-0.0269833,-3.932338,-0.9826767,-0.02159085,-0.1840665,-39.39553
-0.1840457,0.0273146,0.9825381,132.9698,-0.01452944,0.999429,-0.03050578,-3.974607,-0.9828103,-0.01989018,-0.1835437,-39.54593
-0.1836688,0.0276597,0.9825989,133.8003,-0.01295262,0.9994491,-0.03055516,-4.018902,-0.9829029,-0.01833926,-0.1832094,-39.69762
-0.1819559,0.02942864,0.9828662,134.6231,-0.01360384,0.999381,-0.03244158,-4.063364,-0.9832126,-0.01927369,-0.181443,-39.84431
-0.1801141,0.02846824,0.9832337,135.4495,-0.006217937,0.9995282,-0.03007907,-4.105477,-0.9836261,-0.01153135,-0.1798521,-39.99979
-0.1765192,0.02590211,0.9839563,136.2673,-3.216046E-05,0.9996535,-0.02632111,-4.146973,-0.9842972,-0.004677825,-0.1764572,-40.15282
